id,name,district_bundesland
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,16
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,16
197,Neuwied,7
198,Ahrweiler,7
199,Koblenz,7
200,Mosel/Rhein-Hunsrück,7
201,Kreuznach,7
202,Bitburg,7
203,Trier,7
204,Montabaur,7
205,Mainz,7
206,Worms,7
207,Ludwigshafen/Frankenthal,7
208,Neustadt – Speyer,7
209,Kaiserslautern,7
210,Pirmasens,7
211,Südpfalz,7
212,Altötting,9
213,Erding – Ebersberg,9
214,Freising,9
215,Fürstenfeldbruck,9
216,Ingolstadt,9
217,München-Nord,9
218,München-Ost,9
219,München-Süd,9
220,München-West/Mitte,9
221,München-Land,9
222,Rosenheim,9
223,Bad Tölz-Wolfratshausen – Miesbach,9
224,Starnberg – Landsberg am Lech,9
225,Traunstein,9
226,Weilheim,9
227,Deggendorf,9
228,Landshut,9
229,Passau,9
230,Rottal-Inn,9
231,Straubing,9
232,Amberg,9
233,Regensburg,9
234,Schwandorf,9
235,Weiden,9
236,Bamberg,9
237,Bayreuth,9
238,Coburg,9
239,Hof,9
240,Kulmbach,9
241,Ansbach,9
242,Erlangen,9
243,Fürth,9
244,Nürnberg-Nord,9
245,Nürnberg-Süd,9
246,Roth,9
247,Aschaffenburg,9
248,Bad Kissingen,9
249,Main-Spessart,9
250,Schweinfurt,9
251,Würzburg,9
252,Augsburg-Stadt,9
253,Augsburg-Land,9
254,Donau-Ries,9
255,Neu-Ulm,9
256,Oberallgäu,9
257,Ostallgäu,9
258,Stuttgart I,8
259,Stuttgart II,8
260,Böblingen,8
261,Esslingen,8
262,Nürtingen,8
263,Göppingen,8
264,Waiblingen,8
265,Ludwigsburg,8
266,Neckar-Zaber,8
267,Heilbronn,8
268,Schwäbisch Hall – Hohenlohe,8
269,Backnang – Schwäbisch Gmünd,8
270,Aalen – Heidenheim,8
271,Karlsruhe-Stadt,8
272,Karlsruhe-Land,8
273,Rastatt,8
274,Heidelberg,8
275,Mannheim,8
276,Odenwald – Tauber,8
277,Rhein-Neckar,8
278,Bruchsal – Schwetzingen,8
279,Pforzheim,8
280,Calw,8
281,Freiburg,8
282,Lörrach – Müllheim,8
283,Emmendingen – Lahr,8
284,Offenburg,8
285,Rottweil – Tuttlingen,8
286,Schwarzwald-Baar,8
287,Konstanz,8
288,Waldshut,8
289,Reutlingen,8
290,Tübingen,8
291,Ulm,8
292,Biberach,8
293,Bodensee,8
294,Ravensburg,8
295,Zollernalb – Sigmaringen,8
296,Saarbrücken,10
297,Saarlouis,10
298,St. Wendel,10
299,Homburg,10
